id,date,title,authors,link_abstract,link_pdf
2010.08485v1,2020-10-16 16:37:52,A New Open-Access Platform for Measuring and Sharing mTBI Data,August G. Domel|Samuel J. Raymond|Chiara Giordano|Yuzhe Liu|Seyed Abdolmajid Yousefsani|Michael Fanton|Ileana Pirozzi|Ali Kight|Brett Avery|Athanasia Boumis|Tyler Fetters|Simran Jandu|William M Mehring|Sam Monga|Nicole Mouchawar|India Rangel|Eli Rice|Pritha Roy|Sohrab Sami|Heer Singh|Lyndia Wu|Calvin Kuo|Michael Zeineh|Gerald Grant|David B. Camarillo,http://arxiv.org/abs/2010.08485v1,http://arxiv.org/pdf/2010.08485v1
2010.12218v1,2020-10-23 07:56:25,"When the Open Source Community Meets COVID-19: Characterizing COVID-19
  themed GitHub Repositories",Liu Wang|Ruiqing Li|Jiaxin Zhu|Guangdong Bai|Haoyu Wang,http://arxiv.org/abs/2010.12218v1,http://arxiv.org/pdf/2010.12218v1
2011.14995v1,2020-11-30 17:02:38,Adapting LIGO workflows to run in the Open Science Grid,Edgar Fajardo|Frank Wuerthwein|Brian Bockelman|Miron Livny|Greg Thain|James Alexander Clark|Peter Couvares|Josh Willis,http://arxiv.org/abs/2011.14995v1,http://arxiv.org/pdf/2011.14995v1
2012.00515v1,2020-12-01 14:26:40,"Civic Technologies: Research, Practice and Open Challenges",Pablo Aragon|Adriana Alvarado Garcia|Christopher A. Le Dantec|Claudia Flores-Saviaga|Jorge Saldivar,http://arxiv.org/abs/2012.00515v1,http://arxiv.org/pdf/2012.00515v1
2012.04861v2,2021-02-23 03:41:10,"Multi Agent Team Learning in Disaggregated Virtualized Open Radio Access
  Networks (O-RAN)",Pedro Enrique Iturria Rivera|Shahram Mollahasani|Melike Erol-Kantarci,http://arxiv.org/abs/2012.04861v2,http://arxiv.org/pdf/2012.04861v2
2012.07478v1,2020-12-14 12:51:13,"ExoClock Project: An open platform for monitoring the ephemerides of
  Ariel targets with contributions from the public",Anastasia Kokori|Angelos Tsiaras|Billy Edwards|Marco Rocchetto|Giovanna Tinetti|Anaël Wünsche|Nikolaos Paschalis|Vikrant Kumar Agnihotri|Matthieu Bachschmidt|Marc Bretton|Hamish Caines|Mauro Caló|Roland Casali|Martin Crow|Simon Dawes|Marc Deldem|Dimitrios Deligeorgopoulos|Roger Dymock|Phil Evans|Carmelo Falco|Stephane Ferratfiat|Martin Fowler|Stephen Futcher|Pere Guerra|Francois Hurter|Adrian Jones|Wonseok Kang|Taewoo Kim|Richard Lee|Claudio Lopresti|Antonio Marino|Matthias Mallonn|Fabio Mortari|Mario Morvan|Lorenzo V. Mugnai|Alessandro Nastasi|Valère Perroud|Cédric Pereira|Mark Phillips|Pavel Pintr|Manfred Raetz|Francois Regembal|John Savage|Danilo Sedita|Nick Sioulas|Iakovos Strikis|Geoffrey Thurston|Andrea Tomacelli|Alberto Tomatis,http://arxiv.org/abs/2012.07478v1,http://arxiv.org/pdf/2012.07478v1
2012.08174v2,2021-03-29 17:15:00,"Towards open and expandable cognitive AI architectures for large-scale
  multi-agent human-robot collaborative learning",Georgios Th. Papadopoulos|Margherita Antona|Constantine Stephanidis,http://arxiv.org/abs/2012.08174v2,http://arxiv.org/pdf/2012.08174v2
2012.08630v1,2020-12-15 21:39:50,Open Problems in Cooperative AI,Allan Dafoe|Edward Hughes|Yoram Bachrach|Tantum Collins|Kevin R. McKee|Joel Z. Leibo|Kate Larson|Thore Graepel,http://arxiv.org/abs/2012.08630v1,http://arxiv.org/pdf/2012.08630v1
2101.00250v1,2021-01-01 15:11:28,"Interplay between RIS and AI in Wireless Communications: Fundamentals,
  Architectures, Applications, and Open Research Problems",Jinghe Wang|Wankai Tang|Yu Han|Shi Jin|Xiao Li|Chao-Kai Wen|Qiang Cheng|Tie Jun Cui,http://arxiv.org/abs/2101.00250v1,http://arxiv.org/pdf/2101.00250v1
2101.06751v2,2021-01-22 15:38:23,The KM3NeT Open Science System,Jutta Schnabel|Tamas Gal|Zineb Aly,http://arxiv.org/abs/2101.06751v2,http://arxiv.org/pdf/2101.06751v2
